Date,Odometer,Volume,Price,P_fd,P_fp,P_rp,P_rd
190528,168301,7.769,2.539,NA,NA,NA,NA
190529,168431,9.729,2.549,NA,NA,NA,NA
190605,NA,13.915,2.469,NA,NA,NA,NA
190619,169006,12.021,2.399,NA,NA,NA,NA
190630,169268,11.701,2.459,NA,NA,NA,NA
190723,169554,13.429,2.499,NA,NA,NA,NA
190806,169834,13.052,2.399,NA,NA,NA,NA
190810,170084,10.486,2.399,NA,NA,NA,NA
190820,170371,12.608,2.339,NA,NA,NA,NA
190829,170626,12.156,2.359,NA,NA,NA,NA
190907,171016,13.854,2.289,NA,NA,NA,NA
190914,171315,12.627,2.259,NA,NA,NA,NA
190920,171604,12.656,2.329,NA,NA,NA,NA
190927,171933,14.125,2.359,NA,NA,NA,NA
191007,172230,13.351,2.359,NA,NA,NA,NA
191017,172550,14.148,2.399,NA,NA,NA,NA
191104,172843,14.526,2.339,NA,NA,NA,NA
191112,173109,12.724,2.359,NA,NA,NA,NA
191121,173328,10.162,2.359,NA,NA,NA,NA
191202,173683,13.359,2.309,NA,NA,NA,NA
191212,173930,11.814,2.269,NA,NA,NA,NA
191221,174164,11.117,2.459,NA,NA,NA,NA
191226,174495,12.985,2.339,NA,NA,NA,NA
200102,174791,11.202,2.559,NA,NA,NA,NA
200115,175079,12.915,2.369,NA,NA,NA,NA
NA,175358,14.15,2.299,NA,NA,NA,NA
200212,NA,13.578,2.259,NA,NA,NA,NA
200222,175905,13.631,2.199,NA,NA,NA,NA
200304,176196,13.397,2.099,NA,NA,NA,NA
200316,176486,13.22,1.999,NA,NA,NA,NA
200331,176784,13.792,1.699,NA,NA,NA,NA
200509,177039,13.111,1.599,NA,NA,NA,NA
200523,177186,7.209,1.699,NA,NA,NA,NA
200603,177481,12.576,1.699,NA,NA,NA,NA
200613,177779,13.027,1.799,NA,NA,NA,NA
200624,178088,13.667,1.999,NA,NA,NA,NA
200704,178354,12.174,1.949,30,30,30,34
200710,178725,14.378,1.869,30,30,30,33
200719,179035,13.149,1.979,28,28,29,31
200803,179334,12.498,1.899,26,26,27,26
200814,179638,13.598,1.899,26,26,27,25
200824,180010,13.965,1.999,26,26,27,24
200904,180291,13.1,2.159,26,25,26,22
200919,180565,13.358,2.159,23,22,23,18
200920,190911,11.942,2.099,30,30,30,30
200222,181187,2,3.5,NA,NA,NA,NA
201002,181303,13.806,2.079,28,27,27,25
201015,181598,12.805,2.019,28,27,27,24
201023,181898,13.687,1.999,28,28,28,24
201104,182216,14.085,1.959,28,28,28,23
201117,182517,13.683,1.929,26,26,26,20
201125,182784,12.424,1.959,27,26,27,20
201207,183022,12.699,1.959,24,24,24,18
201213,183327,12.896,1.959,28,28,28,19
201223,183633,14.022,1.949,26,24,25,26
201230,183987,13.526,2.499,26,24,25,16
210115,184284,13.854,2.299,25,23,24,14
210120,184623,13.646,2.299,25,24,25,14
210225,184868,12.915,2.559,25,24,25,11
210304,185203,13.074,2.659,26,24,25,23
210312,185488,12.117,2.759,27,25,27,24
