Date, Odometer, Volume, Price
190528, 168301, 7.769, 2.539
190529, 168431, 9.729, 2.549
190605, NA, 13.915, 2.469
190619, 169006, 12.021, 2.399
190630, 169268, 11.701, 2.459
190723, 169554, 13.429, 2.499
190806, 169834, 13.052, 2.399
190810, 170084, 10.486, 2.399
190820, 170371, 12.608, 2.339
190829, 170626, 12.156, 2.359
190907, 171016, 13.854, 2.289
190914, 171315, 12.627, 2.259
190920, 171604, 12.656, 2.329
190927, 171933, 14.125, 2.359
191007, 172230, 13.351, 2.359
191017, 172550, 14.148, 2.399
191104, 172843, 14.526, 2.339
191112, 173109, 12.724, 2.359
191121, 173328, 10.162, 2.359
191202, 173683, 13.359, 2.309
191212, 173930, 11.814, 2.269
191221, 174164, 11.117, 2.459
191226, 174495, 12.985, 2.339
200102, 174791, 11.202, 2.559
200115, 175079, 12.915, 2.369
NA, 175358, 14.150, 2.299
200212, NA, 13.578, 2.259
200222, 175905, 13.631, 2.199
200304, 176196, 13.397, 2.099
200316, 176486, 13.220, 1.999
200331, 176784, 13.792, 1.699
200509, 177039, 13.111, 1.599
200523, 177186, 7.209, 1.699
200603, 177481, 12.576, 1.699
